I(A):    V(v):   P(W):   Raw I:          Temp I:         Raw V:
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
-0.03    4.88    -0.13   513     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
-0.03    4.88    -0.13   513     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
-0.18    4.88    -0.90   519     2.53    500
-0.03    4.88    -0.13   513     2.50    500
-0.08    4.88    -0.39   515     2.51    500
-0.03    4.88    -0.13   513     2.50    500
-0.03    4.88    -0.13   513     2.50    500
-0.08    4.88    -0.39   515     2.51    500
-0.08    4.88    -0.39   515     2.51    500
-0.03    4.88    -0.13   513     2.50    500
-0.03    4.88    -0.13   513     2.50    500
0.03     4.88    0.13    511     2.50    500
-0.03    4.88    -0.13   513     2.50    500
-0.08    4.88    -0.39   515     2.51    500
0.03     4.88    0.13    511     2.50    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
-0.05    4.88    -0.26   514     2.51    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
-0.03    4.88    -0.13   513     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.08     4.88    0.39    509     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
-0.03    4.88    -0.13   513     2.50    500
-0.03    4.88    -0.13   513     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.08     4.88    0.39    509     2.49    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
-0.03    4.88    -0.13   513     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.00     4.88    0.00    512     2.50    500
0.00     4.88    0.00    512     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.08     4.88    0.39    509     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
0.03     4.88    0.13    511     2.50    500
0.08     4.88    0.39    509     2.49    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.05     4.88    0.26    510     2.49    500
0.00     4.88    0.00    512     2.50    500
0.05     4.88    0.26    510     2.49    500
0.03     4.88    0.13    511     2.50    500
